,,type,temperature,flag,ref_num
Fe65Mn15B20,595,Curie,218.66666666666666,False,3
Tb3Pd4Ge4,596,Néel,12.5,False,6
Gd56Co44,597,Curie,216.0,False,1
MnxGa,598,Curie,600.0,False,1
Pb1K2Li1Nb5O15,599,Curie,623.0,False,1
NdTbFe16Al,600,Curie,417.0,False,1
Ar24Nd,601,Curie,0.0,False,1
Fe76V2Si13B9,602,Curie,625.0,False,1
SmCo5,603,Curie,1001.3571428571429,False,14
LaxMnO3,604,Curie,260.0,False,1
LuFe2,605,Curie,605.0,False,2
SmAlO3,606,Curie,600.0,False,1
GdAg,607,Néel,132.0,False,1
Fe2CrGa,608,Curie,353.0,False,1
Ca2MnO4,609,Néel,155.0,False,2
Cu5Bi2B4O14,610,Néel,28.5,False,4
Co07Cu03MnSb,611,Curie,457.0,False,2
GdCo3Sn,612,Curie,133.0,False,1
Al45Cu25Fe30,613,Curie,124.0,False,1
FeBO3,614,Néel,348.0,False,2
Dy2Pd2In,615,Néel,12.0,False,1
GdFeAl,616,Curie,265.0,False,1
CdMnSe,617,Curie,690.0,False,1
ZrNiAl,618,Néel,58.0,False,9
Co2TiGa,619,Curie,85.33333333333333,False,3
Ho4Zn5Ge6,620,Néel,6.0,False,2
Gd5PtSb2,621,Curie,113.0,False,1
In14,622,Néel,10.0,False,2
Fe20Cr,623,Curie,908.0,False,1
CaCuP2O7,624,Néel,1.0,False,1
Ba2CoWO6,625,Néel,19.0,False,2
HoZn,626,Curie,72.0,False,1
CoS2,627,Curie,118.85714285714286,False,7
Co2,628,Curie,384.0,False,1
LaFe12O19,629,Néel,735.0,False,1
PbTe,630,Curie,11.0,False,2
Ni79Fe5V16,631,Curie,62.0,False,1
BaCO3,632,Curie,98.0,False,1
TbMn2,633,Néel,47.0,False,1
Sm2Fe14Ga3Hz*,634,Curie,306.0,False,2
HoNiAl,635,Curie,14.0,False,2
PrAu2Ge2,636,Néel,9.0,False,3
Mn5Ge3,637,Curie,286.8333333333333,False,30
ZrV2,638,Curie,8.0,False,1
CeAgSn,639,Néel,8.0,False,2
Nd2Fe10Co4B,640,Curie,800.0,False,1
RuSr2RCu2O8,641,Curie,50.0,False,1
GdNi3CoSi,642,Curie,45.0,False,1
Mn2P,643,Néel,144.77777777777777,False,9
CeMgSn,644,Néel,12.285714285714286,False,7
TbCuSn,645,Néel,15.0,False,2
Nd2Ni2Sn,646,Néel,21.0,False,1
CoSn,647,Curie,1322.5,False,2
TiSe,648,Curie,97.0,False,2
DyFe3,649,Curie,350.0,False,2
Sr214,650,Curie,50.666666666666664,False,3
CeNiAl,651,Curie,4.0,False,1
LaFe12B6,652,Néel,78.66666666666667,False,6
Titanomagnetite,653,Curie,473.0,False,1
Fe82Nb2B14Gd2,654,Curie,432.0,False,2
TmMnO3,655,Néel,83.0,False,2
Fe64Co21B10Si5,656,Curie,765.0,False,1
Li3Ni2SbO6,657,Néel,15.0,False,1
Sm2NiGa12,658,Néel,9.0,False,2
kTC,659,Curie,1000.0,False,1
Fe3Sn2,660,Curie,657.0,False,3
IBi2212,661,Curie,39.25,False,4
DyCo4Ga,662,Curie,498.0,False,1
LiCoPO4,663,Néel,38.8,False,5
MnSn2,664,Néel,324.5,False,2
Sr2Nb2O7,665,Curie,1339.4,False,5
La3Co29Si4B10,666,Curie,91.6,False,5
Ce7Ni3,667,Néel,0.8,False,5
CePtGa,668,Néel,3.0,False,2
UAsS,669,Curie,124.0,False,1
Y2Co7,670,Curie,639.0,False,2
GdMn2O5,671,Néel,42.666666666666664,False,6
Gd25Er25Ho25Tb25,672,Néel,139.0,False,1
Gd68Ni32,673,Curie,123.0,False,2
MoD,674,Curie,1.0,False,1
Zr6Co23,675,Curie,453.0,False,2
UPtGa5,676,Néel,26.0,False,2
GdCoAl,677,Curie,100.0,False,3
HoRhGe,678,Néel,4.0,False,3
Ce2Ni3Ge5,679,Néel,4.571428571428571,False,7
Cr,680,Curie,315.7340425531915,False,94
Fe66Co20B14,681,Curie,516.0,False,1
PrVSb3,682,Néel,7.0,False,3
FeMoO,683,Néel,12.0,False,2
K2RuO4,684,Néel,9.0,False,4
GdFe2Ge2,685,Néel,11.0,False,2
HoNi2,686,Curie,16.06451612903226,False,31
FePS3,687,Néel,126.0,False,2
Sr2CoTeO6,688,Néel,15.0,False,6
SmRhSn,689,Curie,14.0,False,2
AlN,690,Curie,908.1428571428571,False,7
Co2VAl,691,Curie,310.0,False,1
EuCu3Pd2,692,Curie,10.0,False,3
Ni50Mn38Sb12,693,Curie,335.0,False,1
Ba3TiNb4O15,694,Curie,310.0,False,1
Sr2Ta2O7,695,Curie,166.0,False,1
Nd3Pt23Si11,696,Néel,1.0,False,1
ErFe11TiH,697,Curie,563.0,False,1
MnWO4,698,Néel,12.8,False,5
GdTiO3,699,Curie,30.0,False,1
Rb2RuO4,700,Néel,9.0,False,2
LaNiO3,701,Curie,593.0,False,1
CoSe2,702,Curie,124.0,False,2
Sm2Fe14C,703,Curie,584.0,False,1
Ce2PdGa10,704,Curie,3.5,False,2
FeZr,705,Curie,160.0,False,1
Ni80,706,Curie,738.0,False,2
NaV2O5,707,Curie,34.0,False,1
HoFe2,708,Curie,600.0,False,1
NaxCoO2,709,Curie,41.5,False,4
ErFe9Mn3,710,Curie,320.0,False,1
"42,093",711,Curie,850.0,False,1
Y2Fe15RuCo,712,Curie,330.0,False,2
Mn2Sb,713,Néel,558.3333333333334,False,6
Without,714,Curie,830.5,False,4
TbPdSn,715,Néel,19.0,False,4
BaTi2O5,716,Curie,718.2727272727273,False,22
Cu4O3,717,Néel,42.0,False,1
Pr2Fe14B,718,Curie,562.5,False,2
Ti2,719,Curie,201.0,False,1
NdNi2Cd20,720,Néel,3.5,False,8
LiLaTa12,721,Curie,673.0,False,1
TmCo5,722,Curie,1020.0,False,1
Fe83B9Si5P3,723,Curie,821.0,False,1
UPtGe,724,Néel,50.0,False,1
Co2MnSi,725,Curie,868.0625,False,16
SrBi2Ta2O9,726,Curie,527.25,False,8
Fe72Co10Nb6B12,727,Curie,460.0,False,2
Fe88Zr8B4,728,Curie,295.0,False,1
PrCrO3,729,Néel,232.0,False,1
Tb2Mn3Si5,730,Curie,32.0,False,2
Zechstein,731,Curie,899.5,False,2
Nb3Al,732,Curie,17.0,False,1
Ce2CuGe6,733,Néel,19.0,False,2
TbScGe,734,Curie,227.33333333333334,False,3
SrBi2Nb2O9,735,Curie,737.1666666666666,False,12
DyCo3B2,736,Curie,22.0,False,1
VZn,737,Curie,110.0,False,1
Gr60Sps40,738,Néel,2.0,False,1
Error,739,Curie,0.0,False,1
U3Cu3Sn4,740,Néel,13.0,False,4
Fe75Cu1Co2Si13B9,741,Curie,715.0,False,1
LaSrCoO3,742,Néel,696.5,False,2
TbFeAl*,743,Curie,196.0,False,1
CeCr2Al20,744,Néel,1.6,False,10
Y3Ni13B2,745,Néel,66.5,False,4
Fe75Nb10B15,746,Curie,250.0,False,1
Gd4Tb8Co7,747,Curie,118.0,False,1
CeCo4B,748,Curie,281.3333333333333,False,3
Fe67Tb33,749,Curie,424.0,False,1
GdFeCo,750,Curie,505.0,False,2
NdPt3Si,751,Curie,0.0,False,1
NdTbFe12Al5,752,Curie,430.0,False,1
NdFe2Si2,753,Néel,14.0,False,15
LaOFeAs,754,Néel,99.5,False,12
Amorphous,755,Curie,5.0,False,1
GdBi,756,Néel,25.0,False,1
TmSe,757,Curie,14.0,False,1
ErNi2B2C,758,Curie,8.75,False,8
Nd3CoGe2,759,Curie,3.0,False,1
Literatures,760,Curie,105.25,False,8
Co2CrAl,761,Curie,166.0,False,4
Er4Si5,762,Curie,288.3333333333333,False,6
CoRh2O4,763,Néel,25.0,False,2
Fe43Co22Ni7B19Si5Nb4,764,Curie,529.0,False,1
Ni34Fe16Mn33Ga17,765,Curie,346.0,False,1
MnFe2O4,766,Curie,579.1818181818181,False,11
Ho34Dy22Al24Co20,767,Curie,17.0,False,1
Gd7Rh3,768,Néel,177.22222222222223,False,9
NdAuBi2,769,Néel,2.0,False,2
Er7Rh3,770,Néel,13.0,False,10
FeSn2,771,Néel,378.0,False,4
Gd2Co2Ge,772,Curie,143.0,False,1
CeCuIn,773,Curie,13.0,False,3
CeAuBi2,774,Néel,13.0,False,2
Nd3Fe62B14,775,Curie,483.0,False,2
TbNi2B2C,776,Néel,15.0,False,3
LixMn2O4,777,Néel,41.4,False,5
Fe61Co6Zr8Mo5W3B17,778,Curie,294.5,False,2
YCo3,779,Curie,287.75,False,4
Mn3,780,Curie,3.0,False,1
HoFe6Al6,781,Curie,315.0,False,2
Tb2Pd2Mg,782,Néel,60.0,False,1
GdRhSi,783,Curie,100.0,False,3
PbZrO3,784,Curie,525.3,False,30
HoNi3,785,Curie,61.8,False,5
MnCo,786,Curie,250.0,False,2
NdCu2Si2,787,Néel,9.0,False,3
Tb2Fe11Ga6,788,Curie,434.0,False,1
Gd4Bi3,789,Curie,333.1666666666667,False,6
YPd5Al2,790,Néel,3.5,False,8
SmFe9,791,Curie,447.0,False,3
LiTaO3,792,Curie,849.125,False,16
A95Nb4Y1,793,Curie,622.0,False,1
Sch,794,Néel,7.0,False,3
Podgawan,795,Curie,793.0,False,2
LaSr2Mn2O7,796,Curie,270.6666666666667,False,3
LiTi2O4,797,Curie,12.0,False,2
Ce2Pd2Sn,798,Curie,3.0,False,10
Tb2NiMnO6,799,Curie,110.0,False,3
Pb2Bi4Ti5O18,800,Curie,522.1428571428571,False,7
ZnCr2O4,801,Néel,52.8,False,10
NpRhGa5,802,Néel,30.545454545454547,False,22
Mn34Al44Fe22,803,Curie,3.0,False,1
Ba4SmTi3Nb7O30,804,Curie,364.0,False,1
FeP,805,Néel,186.57142857142858,False,7
K3Li2Nb5O15,806,Curie,629.6,False,5
Ho2Fe16Cr,807,Curie,372.5,False,2
Ni2MnSn,808,Curie,341.6,False,5
CoCrFeO4,809,Curie,661.0,False,2
WCuT,810,Curie,34.0,False,2
Ho2Co15Si2,811,Curie,830.0,False,1
LaRhSn,812,Curie,7.0,False,6
Yb3Cu4Ge4,813,Curie,8.2,False,5
Fe2B,814,Curie,1006.3333333333334,False,3
CeSi2,815,Curie,2.0,False,1
Np2T3X4,816,Néel,27.0,False,6
AlGaAs,817,Curie,160.0,False,1
Fe10Ni70B19Si1,818,Curie,99.0,False,2
NiAs,819,Curie,416.2,False,10
Cu2MnGa,820,Curie,800.0,False,1
Ni78Fe4V18,821,Curie,43.0,False,1
Ag2Nb4O11,822,Curie,400.0,False,1
LnCo2Ge2,823,Curie,50.0,False,2
Fe3S4,824,Curie,476.0,False,4
Nd6W4Al43,825,Néel,3.0,False,3
CaNiGe2O6,826,Néel,12.333333333333334,False,9
DyNiSn,827,Néel,6.5,False,2
Neat,828,Curie,376.0,False,1
Summary,829,Curie,428.2857142857143,False,7
NiCr2O4,830,Curie,143.3846153846154,False,13
Ba3TaFe3Si2O14,831,Néel,27.0,False,1
Kernouvé,832,Curie,1148.0,False,1
InD,833,Curie,319.0,False,1
LaVO3,834,Néel,142.5,False,4
Y3Eu2Ge4,835,Curie,144.0,False,2
NiCl2,836,Néel,52.0,False,1
Al86Gd6Ni8,837,Néel,139.0,False,4
Fe84Mn6Zr10,838,Curie,197.0,False,1
4Se,839,Curie,1.0,False,2
Fe81Zr9B10,840,Curie,382.0,False,2
Ba2CrMoO6,841,Curie,337.5,False,6
La2FeMnO6,842,Curie,309.1666666666667,False,6
Al50Cu15Fe35,843,Curie,99.0,False,1
TbFeSb3,844,Néel,8.0,False,6
Hexagonal,845,Curie,315.8333333333333,False,6
Ca3Mn2Ge3O12,846,Néel,13.0,False,1
Y2Fe16TiHy,847,Curie,491.5,False,2
GdCu4Ga,848,Néel,36.0,False,2
Cl,849,Curie,30.941176470588236,False,17
Pr5Si2Ge2,850,Curie,42.5,False,4
Tb2PdSi3,851,Néel,23.5,False,4
PrCo2B2,852,Curie,16.0,False,1
0*,853,Curie,39.111111111111114,False,9
Ni43Mn46Sn11,854,Curie,216.0,False,1
Nd2Ni2In,855,Néel,8.0,False,5
SmMnO3,856,Néel,65.0,False,6
RhB,857,Curie,839.25,False,4
HoB6,858,Néel,5.0,False,1
Fe80Si20,859,Curie,863.0,False,2
Tb3Rh,860,Néel,80.66666666666667,False,3
Cu2VAl,861,Curie,420.0,False,2
NdMnO3,862,Néel,75.72727272727273,False,11
Tb2CoGe6,863,Néel,22.0,False,1
Gd6W4Al43,864,Néel,11.25,False,4
FePt,865,Curie,572.0,False,14
Cu2MnAl,866,Curie,601.3333333333334,False,3
Tb2CoAl3,867,Curie,47.0,False,1
LiCrSi2O6,868,Néel,11.0,False,2
Dy50Gd7Al23Co20,869,Curie,26.0,False,1
Sr2FeCoO6,870,Néel,134.0,False,1
GdPO4,871,Néel,225.0,False,2
BiMnFe2O6,872,Néel,212.0,False,1
HoCo3Sn,873,Curie,32.0,False,1
PrCu9Sn4,874,Néel,13.0,False,3
DyCu,875,Néel,63.0,False,2
ZnDy01,876,Néel,21.0,False,2
Xe,877,Curie,17.0,False,1
Pz21,878,Curie,493.0,False,1
Alm75Sps25,879,Néel,5.0,False,1
Rochelle,880,Curie,322.0,False,1
Ni76Cr16Fe8,881,Curie,115.0,False,2
Ce3Co29Ge4B10,882,Curie,191.0,False,1
Mn32,883,Néel,283.5,False,4
MnSb,884,Curie,561.625,False,24
TlFeO3,885,Néel,560.0,False,1
LiFePO4,886,Néel,74.02173913043478,False,46
CeSi,887,Néel,6.2,False,5
K72Nd,888,Curie,2.0,False,1
CeZnPb,889,Néel,3.0,False,2
Damjanovic,890,Curie,948.0,False,1
In2O3TF,891,Curie,5.0,False,1
Cu3,892,Curie,357.0,False,2
Dy3Ni6Al2,893,Néel,18.0,False,4
Ca2CrMoO6,894,Curie,125.0,False,1
Dy2O3,895,Curie,385.5,False,2
Cobalt,896,Curie,1397.0,False,2
ZnFe2O4,897,Néel,70.29032258064517,False,31
TbCu2,898,Néel,54.0,False,1
MgCu2,899,Curie,199.0,False,8
CrZrSn,900,Curie,1481.0,False,1
Ni49PrMn35Sn15,901,Curie,5.0,False,1
Fe71Cr7Si4Nb5B12Ag1,902,Curie,300.0,False,1
PuPt2,903,Curie,6.0,False,1
Nd2Fe23B3,904,Curie,629.6666666666666,False,3
Pr6Fe10Al4,905,Néel,175.0,False,2
CeNi4Mn,906,Curie,130.0,False,2
Gd55Al25Co20,907,Curie,100.0,False,2
NdCu3Pd2,908,Curie,4.0,False,3
SrFe12O19,909,Curie,734.7333333333333,False,15
Sr4Sm2Ti4Ta6O30,910,Curie,303.0,False,1
HoAl,911,Curie,24.0,False,3
TbRu2Si2,912,Néel,56.0,False,2
Fe3P,913,Curie,263.375,False,16
Bi2Sr2CaCu2O8,914,Curie,64.5,False,4
Dy3NiSi3,915,Néel,140.0,False,2
Mn8Ga5,916,Curie,165.0,False,1
HoMn2O5,917,Curie,25.5,False,4
NdFe12N,918,Curie,704.0,False,2
Ce15Ge9C,919,Curie,84.0,False,4
Gr90Sps10,920,Néel,2.0,False,1
Ag6O8AgNO3,921,Curie,1.0,False,1
Na2SO4,922,Néel,141.75,False,4
EuAuGe,923,Curie,31.428571428571427,False,7
kTP,924,Curie,553.0,False,1
Fe60Cr8Tb5B23Nb4,925,Curie,267.0,False,1
EuAs3,926,Néel,11.0,False,1
FeGe,927,Curie,306.2,False,5
PbF2,928,Curie,705.0,False,1
DyFe11TiN,929,Curie,735.0,False,1
Er4Zn5Ge6,930,Néel,2.0,False,2
NdAuSn,931,Curie,12.0,False,15
Ba2KNb5O15,932,Curie,665.0,False,2
Cr2CoGa,933,Curie,320.0,False,1
LaSn3,934,Curie,6.0,False,3
Tb55Co20Al25,935,Curie,105.0,False,1
Fe11TiNd,936,Curie,397.0,False,2
Sr3NiFeMoO3,937,Néel,49.0,False,2
NdMg,938,Néel,61.0,False,2
Ni33Fe17Mn33Ga17,939,Curie,350.0,False,1
LuRuB2,940,Curie,10.0,False,1
HoMnO3,941,Curie,556.8461538461538,False,13
CuSb2O6,942,Néel,8.0,False,2
Sapphire,943,Curie,623.0,False,2
TbCuSb2,944,Néel,9.0,False,1
CoFeCrAl,945,Curie,460.0,False,3
Bi5Ti3FeO9,946,Curie,1073.0,False,1
YbFe4Sb12,947,Curie,85.0,False,1
GdZn2,948,Curie,70.0,False,1
Neuschwanstein,949,Curie,155.0,False,3
Pr16Fe80B4,950,Curie,556.0,False,2
URhAl,951,Curie,27.0,False,1
CaIrSi3,952,Curie,3.0,False,3
SmVO3,953,Curie,130.0,False,1
Er2Fe17,954,Curie,299.3333333333333,False,3
XTi,955,Curie,582.5,False,8
Fe61Co7Zr8Mo5W2B17,956,Curie,330.0,False,2
SmNiAl4Ge2,957,Néel,12.5,False,4
DyCoO3,958,Néel,3.0,False,1
Bi2223,959,Curie,81.0,False,2
NiMnGa,960,Curie,323.5,False,2
FeO,961,Néel,261.8205128205128,False,39
MnFe1,962,Curie,366.0,False,2
Gd2Al,963,Curie,114.0,False,1
Fe81Ga19,964,Curie,990.0,False,1
C12Mn2,965,Curie,370.6666666666667,False,12
KHg2,966,Curie,28.0,False,1
AlCeSi,967,Curie,7.0,False,2
Ni2MnGe,968,Curie,284.0,False,5
Gd20Ni33Mn7Si40,969,Curie,24.0,False,1
Sr3Fe2O7,970,Néel,110.0,False,1
Co6,971,Curie,373.0,False,1
Fe84Zr11B5,972,Curie,325.0,False,2
TbNi3CuSi,973,Curie,13.0,False,1
Ho2Cu2Si3,974,Curie,6.0,False,1
U3Pt5Si,975,Néel,11.0,False,2
TdGa,976,Curie,154.0,False,1
Fe51Co49,977,Curie,1236.0,False,1
ErAuSn,978,Néel,1.0,False,2
"5,300",979,Curie,350.0,False,1
DyVO4,980,Curie,3.0,False,1
Ho3Ni2,981,Curie,33.0,False,2
Fe78Si20Nb2,982,Curie,867.0,False,2
ErFe9Mn3C,983,Curie,450.0,False,1
HoSn2,984,Néel,7.0,False,1
GdNiSn,985,Néel,13.333333333333334,False,6
AgCa2Co2V3O12,986,Néel,6.25,False,4
Ce5CuSn3,987,Néel,16.0,False,12
La2LiRuO6,988,Néel,30.0,False,2
EuPdSb,989,Néel,18.0,False,2
DySb,990,Curie,11.0,False,3
GaN,991,Curie,425.35714285714283,False,14
SrxBa1,992,Curie,481.0,False,1
CePdSnH,993,Néel,5.0,False,3
Tb3Cu4Ge4,994,Néel,21.0,False,4
FePbP2O7,995,Néel,10.0,False,1
Tb2Co3Si5,996,Néel,22.0,False,1
"1,300",997,Curie,383.0,False,1
CaZrO3,998,Curie,473.0,False,1
Textured,999,Curie,524.0,False,1
ErMn2Fe4Sn6,1000,Néel,259.0,False,2
GdNiBiO,1001,Curie,4.0,False,1
Silicon,1002,Curie,603.0,False,1
ErFe8Mn4,1003,Curie,180.0,False,2
Ce3Co29Si4B10,1004,Curie,88.5,False,4
Yb3Pt23Si11,1005,Curie,0.0,False,2
CeSn3,1006,Curie,6.0,False,1
TbCu4Au,1007,Néel,16.0,False,1
TlInS2,1008,Curie,113.0,False,4
GdSn4Ti6,1009,Néel,300.0,False,1
HfIrSi,1010,Curie,3.0,False,1
CePd4Sn,1011,Néel,0.0,False,1
Nd7Ni3,1012,Néel,18.0,False,2
Fe74Nb4Si13B9,1013,Curie,568.0,False,1
La2MnIrO6,1014,Curie,130.0,False,2
TmZrSb,1015,Curie,3.0,False,10
PdCrO2,1016,Néel,37.0,False,3
HfFe6Ge6,1017,Curie,323.3666666666667,False,30
CeMnGe,1018,Néel,223.33333333333334,False,3
CePtSi2,1019,Néel,0.5,False,4
Al86Gd6Fe8,1020,Néel,136.5,False,4
Tb2Fe17C,1021,Curie,567.0,False,2
TiTe,1022,Curie,370.0,False,1
GaCl4,1023,Curie,6.25,False,4
Sr4Sc2O6Fe2P2,1024,Curie,17.0,False,1
Ho3Mn3GeGa2,1025,Néel,175.0,False,4
Fe65Sb2Cr4Mo4Ga4P11B5C5,1026,Curie,457.0,False,1
Nikolaenko,1027,Curie,443.0,False,2
Tl2223,1028,Curie,127.0,False,1
GdV2Al20,1029,Néel,3.5,False,6
Miocene,1030,Curie,758.0,False,16
SmNi5,1031,Curie,16.22222222222222,False,9
Fe70Pt30,1032,Curie,410.0,False,2
CaTiO3,1033,Curie,628.6666666666666,False,3
Lu2Fe17H2,1034,Curie,449.0,False,1
Ni48Mn31Ga19Cu2,1035,Curie,363.0,False,1
Ho2NiMnO6,1036,Curie,85.0,False,4
GdMg,1037,Curie,98.33333333333333,False,3
Dy2CuGe6,1038,Néel,22.0,False,3
Fe68Tb5B23Nb4,1039,Curie,487.0,False,1
Ba2CoReO6,1040,Néel,47.25,False,8
HoNiSb,1041,Néel,2.0,False,2
BiNiO3,1042,Néel,300.0,False,2
TmTe,1043,Néel,5.0,False,1
BaSrTiO3,1044,Curie,400.0,False,1
CeRhIn5,1045,Néel,3.0,False,3
TmGa,1046,Curie,15.0,False,2
Nd6V4Al43,1047,Néel,3.0,False,3
Cr86Ru14,1048,Néel,224.75,False,4
TbRh2Si2,1049,Néel,86.0,False,4
Co09Cu01MnSb,1050,Curie,472.0,False,2
Gd3Ni,1051,Néel,99.71428571428571,False,7
Fe61Co9Zr8Mo5B17,1052,Curie,374.0,False,2
Sr3CrFeMoO9,1053,Curie,385.0,False,1
Fe76B11Nb2Cr1,1054,Curie,554.0,False,1
TlCrTe2,1055,Néel,145.0,False,2
Th4Fe13Sn5,1056,Curie,375.0,False,2
Me,1057,Curie,429.0,False,2
Fe84Nb7B9,1058,Curie,1.0,False,1
CuxCoyCrzSe4,1059,Curie,340.0,False,4
Ni50Mn31Ga19,1060,Curie,361.0,False,1
Dy3Cu4Sn4,1061,Néel,15.0,False,1
GdTb,1062,Curie,139.0,False,1
Ca2Nd2Cu5O10,1063,Néel,24.0,False,1
LixRbSr2Nb3O10,1064,Curie,6.0,False,2
Tandil,1065,Curie,834.0,False,6
*Composite,1066,Curie,275.0,False,1
Ca2CoTeO6,1067,Néel,10.0,False,4
SmNi3CuSi,1068,Curie,12.0,False,1
GdCu2Ge2,1069,Néel,12.0,False,3
A96Nb4,1070,Curie,676.0,False,1
Sm(O,1071,Curie,55.0,False,1
Co2FeGa,1072,Curie,1090.0,False,2
YCrO3,1073,Néel,174.93333333333334,False,15
FeNiMn,1074,Curie,220.0,False,1
Fe3N,1075,Curie,535.0,False,1
Fe5Cr,1076,Curie,1023.0,False,1
SmCrO,1077,Néel,15.0,False,4
Co39Ni33Al28,1078,Curie,380.0,False,1
Ko24,1079,Curie,843.0,False,2
Co2VSb,1080,Curie,331.0,False,2
Ho12Co7,1081,Curie,30.0,False,2
GdN,1082,Curie,112.66666666666667,False,9
GdPd,1083,Curie,40.0,False,1
CaCuMn6O12,1084,Curie,2.0,False,1
Tm6V4Al43,1085,Néel,2.0,False,3
Mn41,1086,Curie,200.0,False,1
Pr2Fe23B3,1087,Curie,332.0,False,2
CsCl,1088,Curie,520.0,False,1
SmCrSb3,1089,Curie,109.0,False,3
GdCrO3,1090,Néel,169.0,False,3
Ribbons,1091,Curie,568.0,False,1
Fe7Nd,1092,Curie,397.0,False,2
NbSe2,1093,Curie,7.0,False,1
Sr2CoReO6,1094,Néel,65.0,False,1
BiT,1095,Curie,948.0,False,4
Fe60Mn20B20,1096,Curie,0.0,False,1
AlxCoCrFeNi,1097,Curie,152.5,False,4
Pnictides,1098,Curie,39.0,False,1
Ni2MnGa,1099,Curie,365.9,False,30
Ba2ScOsO6,1100,Néel,93.0,False,1
Al86Gd6Zr8,1101,Néel,136.5,False,4
BFOCa030,1102,Néel,643.0,False,1
Ce2Pt9Al16,1103,Néel,3.0,False,2
Gd3Ni6Al2,1104,Néel,120.0,False,2
Fe(0,1105,Curie,210.0,False,1
Gd3Co8Sn4,1106,Curie,102.0,False,1
Ce2Sc3Ge4,1107,Néel,4.0,False,2
PrO2,1108,Néel,14.0,False,2
Fe2FeSi,1109,Curie,863.0,False,1
NiBi,1110,Néel,133.5,False,4
Gd2Ni2Mg,1111,Néel,41.75,False,12
LaGe5,1112,Curie,6.0,False,1
Er2Cu2In,1113,Curie,32.0,False,1
NaZn13,1114,Curie,706.6666666666666,False,3
NdFe4P12,1115,Curie,1.0,False,1
Hf,1116,Curie,537.25,False,8
Ni83Fe10V7,1117,Curie,486.0,False,1
Tb6FeBi2,1118,Curie,111.6,False,5
Dy3Ni,1119,Néel,38.0,False,2
Gd21,1120,Curie,420.0,False,1
Pu2Pt3Si5,1121,Curie,45.5,False,4
ErFe9Mn3H,1122,Curie,360.0,False,1
SmCu6,1123,Néel,7.0,False,2
Ni4Nb2O9,1124,Curie,76.0,False,1
Fe2NiGe,1125,Curie,685.0,False,1
CdFe2O4,1126,Curie,10.0,False,2
NaFeSi2O6,1127,Néel,7.0,False,3
CePdGa6,1128,Néel,6.2,False,5
FeCO3,1129,Curie,595.9090909090909,False,11
SrLaMnReO6,1130,Curie,193.5,False,2
Ce2O2FeSe2,1131,Néel,171.0,False,2
Tl2Mn2O7,1132,Curie,142.0,False,2
GdPd3B,1133,Néel,8.0,False,2
CoPt3,1134,Curie,545.0,False,1
NiO,1135,Néel,508.55,False,80
Pr16Au3Al10,1136,Curie,19.0,False,2
Pr2NiMnO6,1137,Curie,212.5,False,2
EuPtSn,1138,Néel,14.5,False,4
Fe65Ni27Mn8,1139,Curie,250.0,False,1
Sr2RuO4,1140,Curie,8.85,False,20
Bi2Mn4O10,1141,Néel,84.4,False,5
CrGeTe3,1142,Curie,35.0,False,1
CeIrAl,1143,Curie,4.0,False,2
EuAuCd,1144,Curie,28.0,False,1
Tb2Co2I,1145,Curie,96.0,False,1
Ba3Fe2WO9,1146,Néel,223.0,False,1
TbNiSn,1147,Néel,8.0,False,2
BuLi,1148,Curie,13.0,False,1
HoCoAl,1149,Curie,10.0,False,2
Fe76Al2Si8B14,1150,Curie,717.0,False,1
NiTiSb,1151,Curie,0.0,False,1
Nd2Fe15Ga2,1152,Curie,554.0,False,1
MnP,1153,Curie,269.1875,False,16
Ni35Fe15Cr,1154,Curie,362.0,False,1
"34,000",1155,Curie,329.0,False,1
MgMnFeO4,1156,Curie,411.0,False,1
Nd(Fe,1157,Curie,508.0,False,4
Tb5Sn3,1158,Néel,62.0,False,4
Cr14,1159,Curie,293.0,False,2
Fe45Ni10Cr,1160,Curie,494.0,False,1
TlCrO3,1161,Néel,85.0,False,5
DyFeMnO5,1162,Curie,178.0,False,1
Reacted,1163,Curie,1154.6666666666667,False,3
Eu2MgIrO6,1164,Néel,10.0,False,1
Pt,1165,Curie,263.8,False,15
XGe,1166,Curie,608.0,False,10
HoPtGe,1167,Néel,6.0,False,3
SmFe3,1168,Curie,650.0,False,1
Er50Al7Co20Y6,1169,Curie,52.0,False,1
Fe64Cr4Tb5B23Nb4,1170,Curie,368.0,False,1
Mn5PB2,1171,Curie,302.0,False,2
BiGeB6,1172,Curie,800.0,False,1
HoCo5Ga7,1173,Curie,294.0,False,2
LaCdMn,1174,Curie,148.0,False,1
GaFeO,1175,Néel,210.0,False,2
Ni38Fe12Mn32Ga18,1176,Curie,340.0,False,1
GdRh2Si2,1177,Néel,106.5,False,4
DyNi3,1178,Curie,67.0,False,2
Pd2ErSn,1179,Curie,1.0,False,2
Y2Fe16Ti,1180,Curie,400.0,False,1
CuO,1181,Néel,247.05555555555554,False,54
Li3Mn10Fe8O28,1182,Curie,275.0,False,1
CuAlO2,1183,Néel,24.0,False,2
ErZnSn2,1184,Néel,3.0,False,4
La2MnRuO6,1185,Curie,234.0,False,2
Ni83Cr9Fe8,1186,Curie,345.0,False,2
DyPtGa,1187,Néel,11.0,False,3
R2Ru2O7,1188,Curie,80.0,False,2
Rh2FeGe,1189,Curie,490.0,False,2
