0,2129,1
1,1915,1
2,1202,1
3,776,1
4,1835,0
5,1462,1
6,1875,1
7,2012,0
8,2123,1
9,1614,1
10,1657,1
11,25,0
12,384,0
13,1827,0
14,980,0
15,403,1
16,634,0
17,1445,1
18,189,0
19,1452,1
20,388,0
21,1590,0
22,1460,1
23,951,0
24,924,0
25,722,1
26,999,1
27,821,0
28,1545,1
29,524,1
30,1848,0
31,83,1
32,534,0
33,2111,0
34,987,1
35,1854,0
36,1401,1
37,655,1
38,138,0
39,1681,1
40,2096,0
41,1988,1
42,1703,1
43,293,0
44,2139,1
45,2091,1
46,533,0
47,212,1
48,902,0
49,254,1
50,1728,1
51,1271,1
52,1438,1
53,716,0
54,2099,1
55,1397,1
56,2180,1
57,1241,1
58,601,0
59,1663,1
60,944,1
61,256,1
62,1238,1
63,1491,1
64,2174,1
65,2086,0
66,1553,1
67,1060,1
68,1599,1
69,464,1
70,1651,0
71,647,0
72,1973,0
73,826,0
74,1574,1
75,1565,0
76,1083,0
77,752,0
78,104,1
79,756,0
80,334,0
81,1756,0
82,1049,1
83,2009,0
84,1716,0
85,1620,0
86,812,0
87,743,0
88,1670,0
89,762,0
90,274,1
91,1536,0
92,1396,0
93,1011,0
94,1400,0
95,820,0
96,1865,1
97,1761,0
98,1745,1
99,1759,0
100,1939,0
101,1953,0
102,737,1
103,1077,1
104,1151,0
105,676,1
106,2060,1
107,590,1
108,1045,1
109,1730,1
110,1712,0
111,1416,0
112,872,0
113,300,1
114,2014,0
115,1076,0
116,760,0
117,625,0
118,1508,0
119,549,0
120,415,1
121,2151,1
122,2110,0
123,1997,0
124,346,1
125,599,0
126,985,1
127,1713,1
128,1123,0
129,1132,1
130,1021,0
131,1989,1
132,1856,0
133,1968,0
134,1533,0
135,540,0
136,43,0
137,1339,0
138,1297,0
139,963,1
140,365,1
141,1792,1
142,1358,1
143,364,0
144,361,1
145,461,1
146,1802,1
147,1030,1
148,1466,1
149,746,0
150,637,0
151,1733,1
152,1269,1
153,757,1
154,1774,1
155,1162,1
156,476,1
157,271,1
158,386,1
159,2057,1
160,1743,1
161,1559,0
162,405,0
163,1653,0
164,231,1
165,1156,1
166,2035,0
167,1243,0
168,914,1
169,1366,1
170,577,1
171,1239,0
172,704,0
173,1552,0
174,934,0
175,1506,0
176,322,1
177,267,1
178,2001,1
179,2034,1
180,946,0
181,175,1
182,1349,0
183,839,1
184,1108,1
185,1837,0
186,1746,0
187,735,0
188,970,0
189,847,1
190,958,0
191,2090,0
192,96,0
193,1811,0
194,1685,1
195,538,0
196,1861,1
197,1027,0
198,1081,1
199,2055,1
200,1901,1
201,159,0
202,444,1
203,1607,0
204,1580,0
205,1226,0
206,888,0
207,1851,1
208,2053,0
209,1133,0
210,134,1
211,1251,1
212,925,1
213,251,0
214,1035,0
215,678,1
216,879,0
217,1917,0
218,264,0
219,1942,1
220,1456,1
221,1887,1
222,1393,1
223,1791,1
224,635,0
225,1072,1
226,971,0
227,809,0
228,592,1
229,1816,1
230,310,1
231,1671,1
232,2132,1
233,514,1
234,548,0
235,1922,0
236,106,1
237,2101,1
238,385,0
239,730,1
240,289,1
241,948,0
242,1747,0
243,2148,0
244,1507,1
245,905,1
246,1327,0
247,2078,0
248,229,1
249,354,0
250,1365,1
251,1633,0
252,1570,1
